Date,VALUE
7/1/2013,100.0223879
8/1/2013,100.0675186
9/1/2013,100.0598865
10/1/2013,100.0174847
11/1/2013,99.96815525
12/1/2013,99.93720769
1/1/2014,99.93555464
2/1/2014,99.96520917
3/1/2014,100.0225833
4/1/2014,100.0994556
5/1/2014,100.1877996
6/1/2014,100.2831584
7/1/2014,100.3871529
8/1/2014,100.5010259
9/1/2014,100.6185113
10/1/2014,100.7179337
11/1/2014,100.7756719
12/1/2014,100.7809095
1/1/2015,100.7532727
2/1/2015,100.7245435
3/1/2015,100.7227392
4/1/2015,100.756361
5/1/2015,100.817962
6/1/2015,100.8851154
7/1/2015,100.9193563
8/1/2015,100.8821889
9/1/2015,100.7534976
10/1/2015,100.5548703
11/1/2015,100.324143
12/1/2015,100.0950348
1/1/2016,99.87937909
2/1/2016,99.67679367
3/1/2016,99.48333216
4/1/2016,99.29915645
5/1/2016,99.13113784
6/1/2016,98.99483126
7/1/2016,98.91535804
8/1/2016,98.91881845
9/1/2016,99.01975155
10/1/2016,99.20257119
11/1/2016,99.43948329
12/1/2016,99.70240573
1/1/2017,99.97106729
2/1/2017,100.2305746
3/1/2017,100.468565
4/1/2017,100.6729999
5/1/2017,100.8309215
6/1/2017,100.9296348
7/1/2017,100.9612554
8/1/2017,100.9242469
9/1/2017,100.8297473
10/1/2017,100.7127355
11/1/2017,100.6135136
12/1/2017,100.5610151
1/1/2018,100.5550271
2/1/2018,100.5814765
3/1/2018,100.6242888
4/1/2018,100.6749359
5/1/2018,100.728143
6/1/2018,100.7770904
7/1/2018,100.8084811
8/1/2018,100.8068787
9/1/2018,100.76036
10/1/2018,100.6685582
11/1/2018,100.5379277
12/1/2018,100.3802848
1/1/2019,100.214169
2/1/2019,100.0598787
3/1/2019,99.93523032
4/1/2019,99.85057383
5/1/2019,99.81373752
6/1/2019,99.83210391
7/1/2019,99.91126779
8/1/2019,100.0510556
9/1/2019,100.2371172
10/1/2019,100.4280156
11/1/2019,100.5715246
12/1/2019,100.6207267
1/1/2020,100.5536237
2/1/2020,100.3631282
3/1/2020,95.5221484
4/1/2020,94.14838887
5/1/2020,93.63149884
6/1/2020,95.39411573
7/1/2020,96.90857681
8/1/2020,98.18537705
9/1/2020,98.02666781
10/1/2020,97.93565988
11/1/2020,97.88779451
12/1/2020,97.87328576
1/1/2021,97.90819333
2/1/2021,98.0256295
3/1/2021,98.26351775
4/1/2021,98.64642021
5/1/2021,99.18071779
6/1/2021,99.83877685
7/1/2021,100.5311193
8/1/2021,101.1525614
9/1/2021,101.62697
10/1/2021,101.957881
11/1/2021,102.1880795
