Date,value
8/1/1983,234501
9/1/1983,234701
10/1/1983,234907
11/1/1983,235078
12/1/1983,235235
1/1/1984,235385
2/1/1984,235527
3/1/1984,235675
4/1/1984,235839
5/1/1984,235993
6/1/1984,236160
7/1/1984,236348
8/1/1984,236549
9/1/1984,236760
10/1/1984,236976
11/1/1984,237159
12/1/1984,237316
1/1/1985,237468
2/1/1985,237602
3/1/1985,237732
4/1/1985,237900
5/1/1985,238074
6/1/1985,238270
7/1/1985,238466
8/1/1985,238679
9/1/1985,238898
10/1/1985,239113
11/1/1985,239307
12/1/1985,239477
1/1/1986,239638
2/1/1986,239788
3/1/1986,239928
4/1/1986,240094
5/1/1986,240271
6/1/1986,240459
7/1/1986,240651
8/1/1986,240854
9/1/1986,241068
10/1/1986,241274
11/1/1986,241467
12/1/1986,241620
1/1/1987,241784
2/1/1987,241930
3/1/1987,242079
4/1/1987,242252
5/1/1987,242423
6/1/1987,242608
7/1/1987,242804
8/1/1987,243012
9/1/1987,243223
10/1/1987,243446
11/1/1987,243639
12/1/1987,243809
1/1/1988,243981
2/1/1988,244131
3/1/1988,244279
4/1/1988,244445
5/1/1988,244610
6/1/1988,244806
7/1/1988,245021
8/1/1988,245240
9/1/1988,245464
10/1/1988,245693
11/1/1988,245884
12/1/1988,246056
1/1/1989,246224
2/1/1989,246378
3/1/1989,246530
4/1/1989,246721
5/1/1989,246906
6/1/1989,247114
7/1/1989,247342
8/1/1989,247573
9/1/1989,247816
10/1/1989,248067
11/1/1989,248281
12/1/1989,248479
1/1/1990,248659
2/1/1990,248827
3/1/1990,249012
4/1/1990,249306
5/1/1990,249565
6/1/1990,249849
7/1/1990,250132
8/1/1990,250439
9/1/1990,250751
10/1/1990,251057
11/1/1990,251346
12/1/1990,251626
1/1/1991,251889
2/1/1991,252135
3/1/1991,252372
4/1/1991,252643
5/1/1991,252913
6/1/1991,253207
7/1/1991,253493
8/1/1991,253807
9/1/1991,254126
10/1/1991,254435
11/1/1991,254718
12/1/1991,254964
1/1/1992,255214
2/1/1992,255448
3/1/1992,255703
4/1/1992,255992
5/1/1992,256285
6/1/1992,256589
7/1/1992,256894
8/1/1992,257232
9/1/1992,257548
10/1/1992,257861
11/1/1992,258147
12/1/1992,258413
1/1/1993,258679
2/1/1993,258919
3/1/1993,259152
4/1/1993,259414
5/1/1993,259680
6/1/1993,259963
7/1/1993,260255
8/1/1993,260566
9/1/1993,260867
10/1/1993,261163
11/1/1993,261425
12/1/1993,261674
1/1/1994,261919
2/1/1994,262123
3/1/1994,262352
4/1/1994,262631
5/1/1994,262877
6/1/1994,263152
7/1/1994,263436
8/1/1994,263724
9/1/1994,264017
10/1/1994,264301
11/1/1994,264559
12/1/1994,264804
1/1/1995,265044
2/1/1995,265270
3/1/1995,265495
4/1/1995,265755
5/1/1995,265998
6/1/1995,266270
7/1/1995,266557
8/1/1995,266843
9/1/1995,267152
10/1/1995,267456
11/1/1995,267715
12/1/1995,267943
1/1/1996,268151
2/1/1996,268364
3/1/1996,268595
4/1/1996,268853
5/1/1996,269108
6/1/1996,269386
7/1/1996,269667
8/1/1996,269976
9/1/1996,270284
10/1/1996,270581
11/1/1996,270878
12/1/1996,271125
1/1/1997,271360
2/1/1997,271585
3/1/1997,271821
4/1/1997,272083
5/1/1997,272342
6/1/1997,272622
7/1/1997,272912
8/1/1997,273237
9/1/1997,273553
10/1/1997,273852
11/1/1997,274126
12/1/1997,274372
1/1/1998,274626
2/1/1998,274838
3/1/1998,275047
4/1/1998,275304
5/1/1998,275564
6/1/1998,275836
7/1/1998,276115
8/1/1998,276418
9/1/1998,276714
10/1/1998,277003
11/1/1998,277277
